"","word","newspaper","article","year","searchTerm","sentiment","arousal","nWords","nWordsSentiment","percWordsSentiment"
"10","kæreste","B","1",2011,"fly",2,2,721,43,5.96393897364771
"11","hurtigt","B","1",2011,"fly",2,2,721,43,5.96393897364771
"18","krav","B","1",2011,"fly",-1,1,721,43,5.96393897364771
"43","truet","B","1",2011,"fly",-2,2,721,43,5.96393897364771
"44","slået","B","1",2011,"fly",-2,2,721,43,5.96393897364771
"46","forfulgt","B","1",2011,"fly",-2,2,721,43,5.96393897364771
"78","lovet","B","1",2011,"fly",1,1,721,43,5.96393897364771
"145","fik","B","1",2011,"fly",2,2,721,43,5.96393897364771
"158","gift","B","1",2011,"fly",-2,2,721,43,5.96393897364771
"175","modstandere","B","1",2011,"fly",-2,2,721,43,5.96393897364771
"242","helst","B","1",2011,"fly",1,1,721,43,5.96393897364771
"313","krav","B","1",2011,"fly",-1,1,721,43,5.96393897364771
"318","galt","B","1",2011,"fly",-3,3,721,43,5.96393897364771
"338","problemer","B","1",2011,"fly",-2,2,721,43,5.96393897364771
"343","tro","B","1",2011,"fly",1,1,721,43,5.96393897364771
"350","gift","B","1",2011,"fly",-2,2,721,43,5.96393897364771
"372","fik","B","1",2011,"fly",2,2,721,43,5.96393897364771
"381","nægtede","B","1",2011,"fly",-2,2,721,43,5.96393897364771
"396","frygt","B","1",2011,"fly",-2,2,721,43,5.96393897364771
"400","lykkedes","B","1",2011,"fly",3,3,721,43,5.96393897364771
"408","frygt","B","1",2011,"fly",-2,2,721,43,5.96393897364771
"413","gift","B","1",2011,"fly",-2,2,721,43,5.96393897364771
"420","paranoid","B","1",2011,"fly",-2,2,721,43,5.96393897364771
"448","fik","B","1",2011,"fly",2,2,721,43,5.96393897364771
"450","dom","B","1",2011,"fly",-1,1,721,43,5.96393897364771
"454","dødstrusler","B","1",2011,"fly",-3,3,721,43,5.96393897364771
"461","fik","B","1",2011,"fly",2,2,721,43,5.96393897364771
"486","frygt","B","1",2011,"fly",-2,2,721,43,5.96393897364771
"531","bange","B","1",2011,"fly",-2,2,721,43,5.96393897364771
"543","værste","B","1",2011,"fly",-3,3,721,43,5.96393897364771
"545","håber","B","1",2011,"fly",2,2,721,43,5.96393897364771
"547","bedste","B","1",2011,"fly",3,3,721,43,5.96393897364771
"554","sikkerhed","B","1",2011,"fly",1,1,721,43,5.96393897364771
"555","ønsker","B","1",2011,"fly",2,2,721,43,5.96393897364771
"589","når","B","1",2011,"fly",0,0,721,43,5.96393897364771
"596","panik","B","1",2011,"fly",-3,3,721,43,5.96393897364771
"598","fryser","B","1",2011,"fly",-2,2,721,43,5.96393897364771
"639","vold","B","1",2011,"fly",-3,3,721,43,5.96393897364771
